Campaign_No,Campaign_ID,Campaign_Name,Brand,Agent_Status,Start date,Date,Channel,Region,Gender,Age,CTR (%),CPC (_),RoAS,Reach,Frequency (x),Conversion,CPA (_),Conversion Rate (%),Engagement Rate (%),Campaign_Ideation_Time (days),AB_Test_Completion (days),Creative_Refresh_Time (days),Budget_Reallocation_Time (hrs),Optimization_Response_Time (mins),Personalization_Deployment_Time (hrs),Alert_Type,Threshold_Triggered,Auto_Action_Taken,Approval_Status,Business_Impact (_/%),Alert_Timestamp,Pre_Agent_Value,Post_Agent_Value,Improvement (%),Industry_Avg,Vs_Industry (%),Agent_Automated (%),Auto_Optimizations_Today,Avg_Response_Time (mins),Competitor_Share_of_Voice (%),Competitor_Action_Flag,Sentiment_Score (-1 to +1),Top_Consumer_Keyword,Media_Spend (_),Cost_Per_Engagement (_),Drop_off_Cart (%),Bounce_Rate (%),Seasonality_Flag,Influencer_Collaboration_Flag,Regulatory_Risk_Flag,Crisis_Alert_Flag,Brand_Awareness_Lift (%),Net_Promoter_Score (NPS),Forecasted_Conversions (7d),Forecasted_RoAS (7d),Agent_Recommendation_Flag
Campaign 2,CAMP0208,Summer Splash,Brand X X Core,Manual,2024-01-01,2024-07-26,Facebook,Metro Cities,All,50,2.71,5.02,1.17,50842,2.63,1288,753.02,2.26,10.18,17,16,29,22.13,119,11.68,Fatigue Detected,Conv < 100,Creative Refreshed,Auto-resolved,116483,2024-02-26 00:00:00,50.13,145.78,190.8,83.4,62.38,15,3,89,51.53846154,N,-0.15,Discount,272873.74,52.72,3.73,97.64,Regular,N,N,N,12.39,-28,37,1.25,Pause
Campaign 6,CAMP0209,Winter Warmth,Brand X Organic,Manual,2024-01-01,2024-07-27,Facebook,Tier-2,All,40,3.2,32.2,4.39,35559,5.01,3387,1262.57,1.5,19.63,22,20,25,15.98,89,18.79,Conversion Slowdown,RoAS < 1,Budget Increased,Pending,294346.3,2024-08-30 00:00:00,83.44,107.83,29.23,57.2,50.63,10.5,3,104,37.69230769,N,-0.01,Digital,1302110.69,186.54,13.61,98.4,Holiday,N,N,N,11.98,-16,37,4.31,Scale Up
Campaign 21,CAMP0210,Winter Warmth,Brand X Herbal,Agent,2024-01-01,2024-07-28,Facebook,Tier-2,All,47,6.63,15.22875,4.11,90599.04,3.75,3239.92,656.3746875,10.4056,19.52,7,6.28125,11.4375,7.22,47.75,12.9484375,Conversion Slowdown,CTR < 2%,Creative Refreshed,Pending,339149.1224,2024-08-16 00:00:00,2.532,4.11,62.32,48.22,99.97,83.95,18,45.9375,61.01,N,0.14,Digital,1344464.39,230.25,9.76,29.68,Off-season,N,N,N,19.3248,19.74761905,1125,4.02,Scale Up
Campaign 38,CAMP0211,Summer Splash,Brand X X Core,Manual,2024-01-01,2024-07-29,YouTube,Metro Cities,Female,40,3.01,43.99,1.78,27347,3.94,358,744.61,2.64,13.55,2,19,7,16.23,120,28.37,Fatigue Detected,Conv < 100,Budget Increased,Pending,259207.38,2024-09-26 00:00:00,33.07,63.46,91.9,47.83,15.63,15,3,23,39.23076923,N,-0.1,Premium,1213641.75,327.52,1.9,97.41,Off-season,Y,Y,N,11.68,-22,37,1.95,Optimize
Campaign 43,CAMP0212,Winter Warmth,Brand X Herbal,Agent,2024-01-01,2024-07-30,Google Ads,Pan-India,Female,45,5.56,15.56536458,4.361333333,82491.86667,6.95,3988.533333,578.3388021,13.44933333,16.24533333,9.635416667,8.072916667,9.6875,7.930989583,30,15.57578125,Budget Cap,Budget > 80%,Bid Reduced,Pending,498478.96,2024-06-13 00:00:00,2.725833333,4.361333333,60,71.5,47.18025,82.14,8,11,48.51,N,0.28,Discount,2180831.72,2819.96,5.94,29.62,Festival,N,N,Y,19.43133333,19.74761905,625,4.17,Scale Up
Campaign 40,CAMP0213,Festive Fiesta,Brand X Premium,Manual,2024-01-01,2024-07-31,YouTube,Tier-3,All,47,3.74,12.94,0.89,45411,9.34,402,229.62,4.28,3.02,22,18,9,16.69,154,37,CTR Dip,CTR < 2%,Paused,Pending,396006.41,2024-05-23 00:00:00,21.55,90.81,321.39,77.37,13.44,15,3,43,33.84615385,N,-0.25,Festive,540723.75,394.28,1.05,96.17,Holiday,Y,N,Y,12.26,-33,37,0.94,Pause
Campaign 42,CAMP0214,Festive Fiesta,Brand X Organic,Manual,2024-01-01,2024-08-01,Instagram,Tier-2,Male,44,2.93,46.49,3.99,32381,7.56,1677,1392.3,1.95,1.94,15,14,8,16.84,166,23.99,Fatigue Detected,Budget > 80%,Bid Reduced,Approved,485270.57,2024-07-09 00:00:00,91.76,107.89,17.58,77.41,30.48,15,3,30,53.07692308,N,-0.27,Savings,1688004.89,2687.09,6.24,97.79,Off-season,N,N,Y,11.87,-30,38,3.96,Scale Up
Campaign 39,CAMP0215,Summer Splash,Brand X Herbal,Manual,2024-01-01,2024-08-02,Google Ads,Metro Cities,Female,44,2.1,17.56,1.3,18560,5.34,264,1994.69,2.97,3.05,24,5,28,21.85,92,40.11,Conversion Slowdown,Budget > 80%,Paused,Approved,234482.02,2024-04-16 00:00:00,39.2,101.6,159.18,63.82,37.78,15,3,76,38.46153846,N,-0.25,Savings,296190.62,523.23,2.08,96.88,Off-season,N,N,Y,11.24,3,297,1.41,Pause
Campaign 19,CAMP0216,Winter Warmth,Brand X Herbal,Manual,2024-01-01,2024-08-03,Facebook,Tier-3,Male,47,3.27,13.49,2.22,95393,8.25,4213,1964.58,1.4,2.82,23,15,18,4.36,17,42.04,CTR Dip,Budget > 80%,Bid Reduced,Pending,371333.04,2024-10-16 00:00:00,5.44,90.43,1562.32,32.55,57.88,12.81,3,36,53.84615385,Y,-0.26,Premium,1401609.61,521.03,6.48,98.86,Off-season,N,N,Y,13.11,-31,41,2.12,Optimize
Campaign 27,CAMP0217,Monsoon Mania,Brand X Organic,Agent,2024-01-01,2024-08-04,Facebook,Tier-3,All,19,3.927333333,11.18,4.858666667,131746.2667,5.61,4428,686.5895833,10.65,15.448,7,6.744791667,9.921875,8.544791667,65.234375,9.29,Budget Cap,Conv < 100,Paused,Approved,316491.8527,2024-11-28 00:00:00,3.036666667,4.858666667,60,72.56,45.56933333,75.27,5,43.30729167,70.17666667,N,0.02,Discount,374192.08,86.02,14.38,29.6,Festival,N,Y,N,19.84666667,19.74761905,805,2.85,Optimize
Campaign 48,CAMP0218,Diwali Dhamaka,Brand X X Core,Agent,2024-01-01,2024-08-05,Facebook,Metro Cities,All,53,7.69,15.4297619,4.99,114269.3333,1.91,3784,562.64375,10.48,18.32533333,10.83333333,8.095238095,10.86309524,7.976785714,18,13.29136905,CTR Dip,Conv < 100,Paused,Auto-resolved,438263.55,2024-01-17 00:00:00,2.853333333,4.99,74.88,86.95,50.622,75.93,13,34,60.24076923,N,0.21,Discount,2689986.44,390.38,0.6,29.6,Off-season,N,N,N,19.55809524,19.74761905,297,4.88,Scale Up
Campaign 1,CAMP0219,Monsoon Mania,Brand X Organic,Manual,2024-01-01,2024-08-06,YouTube,Pan-India,All,19,2.23,11.21,3.63,25465,6.08,4250,1147.31,11.61,14.56,9,19,25,16.24,99,36.63,Conversion Slowdown,CTR < 2%,Paused,Pending,184045.28,2024-06-26 00:00:00,24.15,89.47,270.48,72.06,17.41,15,3,2,43.84615385,N,-0.08,Digital,266788.96,71.96,22.87,88.84,Holiday,Y,N,N,11.6,-23,42,3.84,Scale Up
Campaign 23,CAMP0220,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2024-08-07,Facebook,Pan-India,Male,44,0.56,18.08,2.86,48924,1.97,547,179.35,14.2,2.96,23,11,9,22.37,108,38.4,RoAS Drop,Conv < 100,Creative Refreshed,Pending,313144.62,2024-08-13 00:00:00,21.87,93.2,326.15,59.29,33.91,15,2,98,28.46153846,N,-0.26,Festive,916091.08,632.59,1.59,85.4,Off-season,N,N,Y,12.34,-29,43,3.02,Optimize
Campaign 10,CAMP0221,Festive Fiesta,Brand X Classic,Manual,2024-01-01,2024-08-08,Google Ads,Metro Cities,All,23,2.79,34.45,3.03,88387,4.82,3731,1001.45,9.81,4.92,30,18,19,14.91,133,14.41,CTR Dip,Conv < 100,Paused,Auto-resolved,378595.27,2024-12-26 00:00:00,84.49,75.03,-11.2,59.5,15.53,15,3,50,52.30769231,N,-0.23,NewLaunch,2989419.77,687.44,5.14,92.12,Off-season,N,N,Y,13.02,-22,43,3.12,Scale Up
Campaign 5,CAMP0222,Festive Fiesta,Brand X X Core,Manual,2024-01-01,2024-08-09,LinkedIn,Pan-India,Male,26,2.89,15.37,3.22,8550,5.31,1315,1799.59,12.73,3.41,28,16,26,5.63,121,16.57,Fatigue Detected,Conv < 100,Bid Reduced,Auto-resolved,46861.6,2024-11-13 00:00:00,17.27,81.72,373.19,83.77,-2.05,15,2,1,40,N,-0.25,Discount,144299.63,494.93,20.06,86.49,Festival,N,N,Y,10.35,-15,43,3.06,Scale Up
Campaign 15,CAMP0223,Festive Fiesta,Brand X Herbal,Agent,2024-01-01,2024-08-10,Google Ads,Tier-3,Male,37,5.21,16.43768382,4.689882353,102208.5647,3.63,3304,605.521875,12.08376471,13.87576471,11.39705882,8.419117647,11.26838235,7.633639706,63.58455882,13.39283088,Fatigue Detected,Conv < 100,Bid Reduced,Pending,479365.92,2024-10-06 00:00:00,2.931176471,4.689882353,60,74.31,48.20285294,84.91,12,10,56.84333333,Y,0.29,NewLaunch,1326024.76,235.88,9.26,29.47,Holiday,N,N,N,19.70588235,19.74761905,999,4.61,Scale Up
Campaign 31,CAMP0224,Diwali Dhamaka,Brand X Classic,Manual,2024-01-01,2024-08-11,Instagram,Metro Cities,Female,33,2.2,34.14,3.91,70681,8.82,1240,770.98,10.19,16.91,1,13,13,7.59,20,33.52,Fatigue Detected,CTR < 2%,Paused,Auto-resolved,195755.3,2024-07-13 00:00:00,66.03,109.15,65.3,60.91,48.24,15,3,108,41.53846154,N,-0.05,Savings,1940740.57,162.38,1.95,89.19,Off-season,N,N,N,12.76,-4,44,4.27,Scale Up
Campaign 7,CAMP0225,Summer Splash,Brand X X Core,Manual,2024-01-01,2024-08-12,Google Ads,Tier-2,All,55,3.89,11.04,0.53,31913,5.47,4341,530.26,7.93,16.71,29,9,14,10.79,121,28.63,Budget Cap,CTR < 2%,Budget Increased,Approved,414123.09,2024-07-15 00:00:00,37.24,88.2,136.84,44.1,44.1,15,3,38,36.92307692,N,-0.05,NewLaunch,391294.16,73.38,17.01,93.14,Holiday,N,N,N,11.86,16,44,0.52,Pause
Campaign 29,CAMP0226,Festive Fiesta,Brand X Premium,Manual,2024-01-01,2024-08-13,Facebook,Metro Cities,All,50,3.02,31.43,2.12,30479,7.62,1366,1297.18,10.96,11.72,25,11,29,21.21,22,27.34,CTR Dip,Budget > 80%,Bid Reduced,Auto-resolved,296797.71,2024-03-06 00:00:00,59.38,77.98,31.32,78.61,-0.63,15,3,54,31.53846154,Y,-0.12,Festive,1081205.2,302.68,6.18,90.11,Holiday,N,N,N,11.8,-6,44,2.28,Optimize
Campaign 9,CAMP0227,Winter Warmth,Brand X Organic,Agent,2024-01-01,2024-08-14,Google Ads,Pan-India,Female,41,4.366,15.56536458,4.361333333,82491.86667,4.98,4930,168.13,13.44933333,17.09,2,6,9.6875,7.930989583,37,15.57578125,Conversion Slowdown,CTR < 2%,Paused,Approved,390622.1407,2024-08-08 00:00:00,2.725833333,4.361333333,60,88.62,47.18025,70,19,35.390625,61.77923077,Y,0.17,Festive,1087082.9,191.7,17.84,29.45,Off-season,N,Y,N,19.43133333,19.74761905,757,1.71,Optimize
Campaign 36,CAMP0228,Diwali Dhamaka,Brand X X Core,Manual,2024-01-01,2024-08-15,Google Ads,Tier-3,Male,26,2.77,40.51,2.81,35175,4.41,3406,1836.44,7.86,15.2,29,12,9,18.3,106,24.64,Conversion Slowdown,Budget > 80%,Paused,Pending,372913.53,2024-10-31 00:00:00,79.59,67.25,-15.5,89.05,-21.8,15,0,15,30,N,-0.07,NewLaunch,1488153.84,278.34,14.36,90.69,Festival,N,N,N,11.97,2,45,2.81,Optimize
Campaign 30,CAMP0229,Festive Fiesta,Brand X X Core,Manual,2024-01-01,2024-08-16,YouTube,Tier-3,All,52,3.75,35.04,3.01,27516,2.46,4517,862.15,3.86,11.92,5,19,22,9.69,89,28.92,Budget Cap,RoAS < 1,Creative Refreshed,Pending,77576.69,2024-03-31 00:00:00,76.38,91.6,19.93,64.54,27.06,15,3,90,28.46153846,Y,-0.12,Premium,917189.35,279.64,18.26,96.81,Holiday,Y,N,N,11.69,2,45,2.94,Scale Up
Campaign 28,CAMP0230,Winter Warmth,Brand X Herbal,Manual,2024-01-01,2024-08-17,LinkedIn,Tier-2,All,54,2.22,11.12,3.95,5552,8.28,1434,255.19,8.69,10.36,5,19,25,6.9,43,22.01,CTR Dip,Budget > 80%,Budget Increased,Approved,195336.99,2024-04-20 00:00:00,86.26,132.73,53.87,38.13,94.6,15,1,17,53.84615385,Y,-0.14,Discount,68996.08,119.95,38.31,91.56,Regular,N,N,N,9.86,-3,45,4.33,Scale Up
Campaign 32,CAMP0231,Festive Fiesta,Brand X Classic,Agent,2024-01-01,2024-08-18,Google Ads,Metro Cities,Female,36,8.31,15.49659091,4.68,112332.2182,6.3,2852.581818,712.9022727,13.43,12.94472727,8.465909091,7.869318182,12.24431818,1.77,63.15340909,14.53664773,Conversion Slowdown,CTR < 2%,Paused,Approved,534526.4851,2024-05-01 00:00:00,2.925,4.68,60,70.47,36.31,80.75,20,2,75.17666667,N,0.17,Premium,3669820.95,332.74,3.16,29.43,Off-season,N,Y,N,19.40436364,19.74761905,981,2.22,Optimize
Campaign 43,CAMP0232,Summer Splash,Brand X X Core,Agent,2024-01-01,2024-08-19,Instagram,Pan-India,All,21,4.984,15.58993056,4.51,119368.7111,1.59,4395.2,639.9871528,12.424,12.00088889,8.819444444,8.020833333,11.63194444,7.730902778,65.52083333,14.48263889,Conversion Slowdown,CTR < 2%,Creative Refreshed,Pending,290329.39,2024-10-17 00:00:00,2.105555556,4.51,114.2,73.83,57.02161111,87.73,8,39.79166667,55.62538462,Y,0.23,NewLaunch,1345067.46,1645.18,8.45,29.42,Holiday,Y,N,Y,19.43644444,19.74761905,705,4.47,Scale Up
Campaign 30,CAMP0233,Diwali Dhamaka,Brand X Organic,Manual,2024-01-01,2024-08-20,Google Ads,Tier-2,Male,43,1.53,28.54,4.71,11164,3.79,4323,477.39,6.79,10.94,14,7,16,16.61,79,28.08,RoAS Drop,CTR < 2%,Creative Refreshed,Approved,290942.17,2024-06-22 00:00:00,88.97,116.44,30.88,88.7,27.74,15,3,92,29.23076923,Y,-0.14,Discount,353949.75,289.8,47.13,92.33,Holiday,N,N,N,10.65,1,45,5,Scale Up
Campaign 38,CAMP0234,Summer Splash,Brand X X Core,Manual,2024-01-01,2024-08-21,LinkedIn,Metro Cities,All,26,2.7,11.81,3.01,11313,2.89,2682,838.42,9.04,18.79,9,16,27,16.46,143,45.75,RoAS Drop,RoAS < 1,Budget Increased,Pending,401365.53,2024-05-03 00:00:00,77.12,83.83,8.7,30.58,53.25,15,3,71,36.15384615,Y,-0.02,Digital,121264.08,57.05,33.53,89.25,Holiday,N,Y,N,10.67,-8,46,3.14,Scale Up
Campaign 1,CAMP0235,Diwali Dhamaka,Brand X X Core,Agent,2024-01-01,2024-08-22,LinkedIn,Pan-India,All,43,4.014222222,15.14166667,4.61,94293.68889,4.56,3505.244444,661.7203704,12.54459259,18.22,5,5,10.94907407,7.27337963,63.37962963,12.8712963,Budget Cap,Conv < 100,Bid Reduced,Approved,446999.1378,2024-01-05 00:00:00,2.435925926,4.61,89.25,42.86,53.33996296,97,5,36,52.54846154,Y,0.24,Premium,2548487.46,149.45,0.38,29.39,Off-season,N,N,N,19.13777778,19.74761905,286,4.85,Scale Up
Campaign 35,CAMP0236,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2024-08-23,LinkedIn,Pan-India,Female,18,3.4,26.97,3.99,48951,6.29,167,773.2,13.95,18.33,12,12,7,13.96,23,33.08,Fatigue Detected,Budget > 80%,Paused,Pending,425297.68,2024-01-17 00:00:00,10.56,127.38,1106.25,48.16,79.22,15,3,77,26.92307692,Y,-0.03,Premium,1337887.9,149.11,0.4,87.11,Regular,N,N,N,12.34,-19,186,4.21,Scale Up
Campaign 43,CAMP0237,Festive Fiesta,Brand X X Core,Manual,2024-01-01,2024-08-24,LinkedIn,Tier-3,All,47,3.63,7.63,2.37,88616,6.18,3759,612.66,2.11,16.31,20,10,23,17.92,133,9.35,RoAS Drop,Budget > 80%,Creative Refreshed,Pending,124903.29,2024-12-09 00:00:00,68.03,55.45,-18.49,83.9,-28.45,15,3,72,31.53846154,N,-0.06,NewLaunch,555180.41,38.41,5,98.29,Holiday,N,N,N,13.02,-1,47,2.5,Optimize
Campaign 38,CAMP0238,Diwali Dhamaka,Brand X Classic,Agent,2024-01-01,2024-08-25,LinkedIn,Tier-3,Female,51,4.98,14.16517857,4.8,84045.94286,9,3193.828571,653.2443452,11.8072381,15.96952381,10.83333333,8,10.35714286,8.12797619,64.79166667,16.175,Conversion Slowdown,Conv < 100,Paused,Pending,371862.5044,2024-11-17 00:00:00,2.656190476,4.8,80.71,58.79,53.61942857,84.25,9,36.16071429,62.67666667,N,0.12,Savings,2536213.98,1793.93,2.35,29.35,Holiday,N,N,Y,19.21371429,19.74761905,1321,4.81,Scale Up
Campaign 25,CAMP0239,Winter Warmth,Brand X Herbal,Agent,2024-01-01,2024-08-26,YouTube,Tier-3,Male,47,7.01,15.51227679,4.554285714,202632.2857,6.66,4239,634.196875,9.355428571,16.93,8.995535714,7.142857143,10.42410714,7.191294643,45,7.15,Fatigue Detected,Conv < 100,Budget Increased,Approved,371596.65,2024-03-06 00:00:00,2.846428571,4.554285714,60,88.42,44.89,70,18,33,44.85615385,N,0.06,NewLaunch,1250854.07,111.15,8.18,29.34,Festival,Y,N,N,20.41371429,19.74761905,628,4.38,Scale Up
Campaign 32,CAMP0240,Winter Warmth,Brand X Premium,Manual,2024-01-01,2024-08-27,LinkedIn,Pan-India,Female,21,3.28,13.86,3.13,54171,4.87,4168,578.05,8.24,16.14,30,18,15,20.23,158,31.03,CTR Dip,Budget > 80%,Bid Reduced,Pending,106580.07,2024-12-01 00:00:00,44,103.47,135.16,76.76,26.71,15,3,120,43.07692308,N,-0.06,Premium,867293.54,99.2,10.9,92.89,Off-season,N,N,N,12.46,-13,47,3.17,Scale Up
Campaign 20,CAMP0241,Festive Fiesta,Brand X Premium,Manual,2024-01-01,2024-08-28,YouTube,Metro Cities,Female,23,2.5,30.71,2.37,4668,9.75,4756,1541.13,6.2,13.1,5,16,30,9.28,134,8.06,RoAS Drop,Conv < 100,Bid Reduced,Approved,343135.72,2024-06-26 00:00:00,15.36,116.39,657.75,72.41,43.98,15,3,58,47.69230769,N,-0.1,Discount,120547.43,197.13,100,93.21,Off-season,Y,N,N,9.66,4,47,2.54,Optimize
Campaign 28,CAMP0242,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2024-08-29,Google Ads,Metro Cities,Female,21,3.91,32.41,3.89,50002,4.07,2786,896.89,5.1,2.12,1,16,16,8.24,65,46.75,RoAS Drop,Budget > 80%,Paused,Pending,487179.21,2024-06-28 00:00:00,6.86,120.8,1660.93,77.4,43.4,15,0,48,43.84615385,N,-0.27,Savings,1778814.07,1678.06,7.49,95.84,Holiday,N,N,Y,12.37,-20,48,4.24,Scale Up
Campaign 40,CAMP0243,Summer Splash,Brand X Classic,Manual,2024-01-01,2024-08-30,Google Ads,Metro Cities,All,35,3.58,18.19,2.93,95210,6.49,4638,669.67,6.32,12.23,11,7,8,7.23,134,15.91,Fatigue Detected,Conv < 100,Creative Refreshed,Auto-resolved,155411.35,2024-04-10 00:00:00,38.6,127.71,230.85,31.1,96.61,15,3,29,50.76923077,Y,-0.12,NewLaunch,1943707.28,166.93,6.78,94.29,Festival,N,N,N,13.1,-5,48,2.98,Optimize
Campaign 15,CAMP0244,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2024-08-31,YouTube,Tier-2,Female,24,2.32,44.59,1.76,36006,6.18,1516,504.98,7.8,19.49,28,5,19,2.73,133,20.14,RoAS Drop,Conv < 100,Creative Refreshed,Approved,60757.68,2024-10-31 00:00:00,7.13,86.82,1117.67,78.54,8.28,15,3,80,46.92307692,N,-0.01,NewLaunch,1458692.34,207.86,6.3,91.59,Holiday,N,N,N,11.99,3,48,1.69,Optimize
Campaign 22,CAMP0245,Diwali Dhamaka,Brand X Herbal,Manual,2024-01-01,2024-09-01,Facebook,Tier-2,Female,39,4.26,40.86,4.38,49469,8.11,3835,456.34,1.51,18.13,11,9,18,18.28,48,41.05,Budget Cap,Budget > 80%,Bid Reduced,Approved,214864.71,2024-06-20 00:00:00,3.52,112.64,3100,67.02,45.62,15,2,26,34.61538462,N,-0.03,Premium,1998348.26,222.81,10.63,98.64,Holiday,N,N,N,12.36,-5,49,4.78,Scale Up
Campaign 5,CAMP0246,Winter Warmth,Brand X Herbal,Agent,2024-01-01,2024-09-02,LinkedIn,Tier-3,Female,24,4.627047619,14.16517857,4.249904762,84045.94286,7.21,3193.828571,653.2443452,11.8072381,15.96952381,10,9.077380952,10.35714286,2.26,6,16.175,RoAS Drop,Conv < 100,Bid Reduced,Auto-resolved,371862.5044,2024-12-03 00:00:00,2.656190476,4.249904762,60,41.65,103.75,70,19,36.16071429,49.34333333,N,0.12,Premium,1348944.22,225.92,4.35,29.33,Off-season,N,N,N,19.21371429,19.74761905,957,1.08,Pause
Campaign 37,CAMP0247,Winter Warmth,Brand X Herbal,Manual,2024-01-01,2024-09-03,LinkedIn,Tier-3,All,36,2,20.8,3.68,96389,2.01,737,1394.33,9.98,16.69,18,5,29,15.85,23,34.09,Conversion Slowdown,RoAS < 1,Bid Reduced,Pending,68624.04,2024-04-03 00:00:00,70.95,75.4,6.27,76.64,-1.24,15,0,117,25.38461538,N,-0.05,Digital,1956005.13,121.59,0.87,88.04,Festival,N,N,N,13.12,1,49,3.58,Scale Up
Campaign 19,CAMP0248,Summer Splash,Brand X X Core,Manual,2024-01-01,2024-09-04,Google Ads,Metro Cities,All,54,3.85,36.42,2.8,52171,5.79,626,1855.57,14.92,9.46,27,17,27,22.56,88,23.29,CTR Dip,RoAS < 1,Budget Increased,Pending,239279.83,2024-11-23 00:00:00,16.48,78.98,379.25,43.79,35.19,15,3,8,43.84615385,N,-0.16,NewLaunch,1605782.97,325.36,1.63,83.31,Holiday,N,N,N,12.42,5,49,3.02,Optimize
Campaign 6,CAMP0249,Winter Warmth,Brand X Organic,Manual,2024-01-01,2024-09-05,YouTube,Tier-3,Male,48,3.59,46.76,4.92,91417,5.99,3442,298.2,13.38,14.07,6,18,16,11.53,35,45.66,Budget Cap,Conv < 100,Creative Refreshed,Pending,384335.57,2024-07-08 00:00:00,26.27,59.69,127.22,86.59,-26.9,15,3,4,46.15384615,Y,-0.09,Premium,4626689.81,359.71,4.93,87.47,Off-season,Y,N,N,13.06,-6,50,5.08,Scale Up
Campaign 21,CAMP0250,Winter Warmth,Brand X Premium,Manual,2024-01-01,2024-09-06,LinkedIn,Metro Cities,Female,39,3.13,24.04,4.52,74887,5.32,4432,1285.89,0.24,2.66,27,18,18,4.48,75,20.34,CTR Dip,Conv < 100,Budget Increased,Auto-resolved,357019.16,2024-07-23 00:00:00,2.1,135.67,6360.48,86.16,49.51,15,3,62,43.07692308,N,-0.26,Festive,2096710.01,1052.57,8.64,99.72,Holiday,N,N,Y,12.83,-37,50,4.53,Scale Up
Campaign 15,CAMP0251,Monsoon Mania,Brand X Classic,Manual,2024-01-01,2024-09-07,Google Ads,Metro Cities,All,21,3.58,18.39,1.76,89491,6.2,27,1543.45,1.25,15.94,19,17,11,10.86,155,47.4,RoAS Drop,Budget > 80%,Budget Increased,Approved,143972.78,2024-12-20 00:00:00,32.11,53.92,67.92,41.42,12.5,15,3,38,37.69230769,N,-0.06,Savings,1746119.55,122.41,0.04,98.97,Holiday,N,N,N,13.03,-8,29,1.92,Optimize
Campaign 33,CAMP0252,Diwali Dhamaka,Brand X X Core,Agent,2024-01-01,2024-09-08,LinkedIn,Tier-2,Male,25,6.15,14.23,4.892,89821.5,5.78,3705.25,603.9109375,10.338,14.7025,10.60546875,6,10.9375,6.48671875,61.07421875,14.99140625,Fatigue Detected,CTR < 2%,Creative Refreshed,Auto-resolved,331069.1775,2024-04-15 00:00:00,3.0575,4.892,60,52.15,49.62,70,16,40.68359375,64.85615385,N,0.27,Festive,571558.54,241.41,12.52,29.33,Festival,N,N,N,19.2725,19.74761905,634,3.65,Scale Up
Campaign 14,CAMP0253,Monsoon Mania,Brand X Premium,Agent,2024-01-01,2024-09-09,YouTube,Metro Cities,Female,55,4.46,5.46,4.644413793,133855.0069,3.11,4862,577.687069,12.03,18.39117241,9.00862069,7.931034483,11.53017241,8.664655172,52.90948276,15.65926724,RoAS Drop,CTR < 2%,Paused,Pending,302942.9252,2024-08-20 00:00:00,2.902758621,4.644413793,60,42.35,91.93,70,9,14,54.85615385,N,0.24,Savings,342282.21,126.24,9.23,29.3,Festival,Y,N,Y,19.94427586,19.74761905,1008,3.8,Scale Up
Campaign 35,CAMP0254,Winter Warmth,Brand X Organic,Manual,2024-01-01,2024-09-10,Facebook,Tier-3,Female,50,2.03,7.97,2.4,44361,9.38,930,537.19,12.83,11.45,29,19,25,15.37,132,38.28,CTR Dip,Budget > 80%,Paused,Auto-resolved,101105.64,2024-09-06 00:00:00,12.33,79.03,540.96,79.61,-0.58,13.45,3,118,30.76923077,Y,-0.13,NewLaunch,308754.16,60.79,2.65,88.84,Festival,N,N,N,12.23,3,50,2.59,Optimize
Campaign 10,CAMP0255,Summer Splash,Brand X Herbal,Manual,2024-01-01,2024-09-11,Instagram,Metro Cities,Female,21,2.67,20.07,2.14,60445,7.38,4923,614.79,12.99,9.62,30,12,13,16.02,110,25.43,Fatigue Detected,CTR < 2%,Creative Refreshed,Auto-resolved,157744.13,2024-12-08 00:00:00,85.39,105.75,23.84,44.96,60.79,14.06,3,26,23.84615385,N,-0.16,Digital,1282412.42,220.54,9.7,84.48,Holiday,N,N,N,12.59,-5,50,2.25,Optimize
Campaign 24,CAMP0256,Summer Splash,Brand X Organic,Manual,2024-01-01,2024-09-12,Google Ads,Tier-3,Male,31,3,28.43,4.4,53609,2.47,3162,1760.99,4.77,5.15,16,14,18,11.35,73,36.8,CTR Dip,Conv < 100,Paused,Approved,483860.71,2024-04-21 00:00:00,29.81,104.63,250.99,74.14,30.49,15,3,109,40.76923077,N,-0.22,Premium,1419106.04,514.01,6.53,95.5,Regular,N,N,Y,12.45,-42,50,4.36,Scale Up
Campaign 10,CAMP0257,Winter Warmth,Brand X Premium,Manual,2024-01-01,2024-09-13,Google Ads,Metro Cities,All,51,2.13,20.87,4.04,77916,7.34,912,1428.79,12.94,8.53,30,20,21,15.06,152,25.29,Fatigue Detected,Budget > 80%,Creative Refreshed,Auto-resolved,62780.2,2024-02-24 00:00:00,79.32,142.13,79.19,36.56,105.57,15,3,88,39.23076923,N,-0.17,Premium,1860314.14,279.9,1.56,85.4,Festival,N,N,N,12.88,-15,51,4.41,Scale Up
Campaign 4,CAMP0258,Festive Fiesta,Brand X Premium,Manual,2024-01-01,2024-09-14,Instagram,Pan-India,Male,27,3.51,5.19,4.29,94337,5.86,1414,1980.28,1.51,8.02,26,18,7,8.29,27,21.42,RoAS Drop,CTR < 2%,Paused,Pending,361143.29,2024-03-30 00:00:00,61.19,139.37,127.77,85.9,53.47,15,3,25,31.53846154,N,-0.18,Premium,415703.14,54.94,1.78,98.56,Regular,Y,N,N,13.09,-32,51,4.12,Scale Up
